accuracy,precision,recall,f1,confusion_matrix
0.585,0.6634615384615384,0.5897435897435898,0.6244343891402715,"[[48 35]
 [48 69]]"
0.505,0.5700934579439252,0.5350877192982456,0.5520361990950227,"[[40 46]
 [53 61]]"
0.525,0.5643564356435643,0.5277777777777778,0.5454545454545454,"[[48 44]
 [51 57]]"
0.53,0.5918367346938775,0.5178571428571429,0.5523809523809524,"[[48 40]
 [54 58]]"
0.505,0.4782608695652174,0.5851063829787234,0.5263157894736842,"[[46 60]
 [39 55]]"
0.525,0.5327102803738317,0.5588235294117647,0.5454545454545454,"[[48 50]
 [45 57]]"
0.475,0.4778761061946903,0.54,0.5070422535211268,"[[41 59]
 [46 54]]"
0.485,0.5327102803738317,0.5181818181818182,0.5253456221198156,"[[40 50]
 [53 57]]"
0.515,0.5299145299145299,0.5961538461538461,0.5610859728506787,"[[41 55]
 [42 62]]"
0.595,0.6173913043478261,0.6574074074074074,0.6367713004484304,"[[48 44]
 [37 71]]"
0.56,0.5158730158730159,0.7065217391304348,0.5963302752293578,"[[47 61]
 [27 65]]"
0.545,0.575,0.6330275229357798,0.6026200873362445,"[[40 51]
 [40 69]]"
0.51,0.5583333333333333,0.5982142857142857,0.5775862068965517,"[[35 53]
 [45 67]]"
0.53,0.5294117647058824,0.6237623762376238,0.5727272727272728,"[[43 56]
 [38 63]]"
0.53,0.5476190476190477,0.6509433962264151,0.5948275862068966,"[[37 57]
 [37 69]]"
0.5,0.49572649572649574,0.5858585858585859,0.5370370370370371,"[[42 59]
 [41 58]]"
0.67,0.746031746031746,0.734375,0.7401574803149606,"[[40 32]
 [34 94]]"
0.65,0.6423357664233577,0.8073394495412844,0.7154471544715447,"[[42 49]
 [21 88]]"
0.67,0.648854961832061,0.8095238095238095,0.7203389830508474,"[[49 46]
 [20 85]]"
0.63,0.6220472440944882,0.7523809523809524,0.6810344827586207,"[[47 48]
 [26 79]]"
0.61,0.6060606060606061,0.7547169811320755,0.6722689075630253,"[[42 52]
 [26 80]]"
0.625,0.6287878787878788,0.7614678899082569,0.6887966804979253,"[[42 49]
 [26 83]]"
0.635,0.6277372262773723,0.7962962962962963,0.7020408163265306,"[[41 51]
 [22 86]]"
0.59,0.582089552238806,0.75,0.6554621848739496,"[[40 56]
 [26 78]]"
0.62,0.625,0.7727272727272727,0.6910569105691057,"[[39 51]
 [25 85]]"
0.64,0.6484375,0.7545454545454545,0.6974789915966386,"[[45 45]
 [27 83]]"
0.62,0.6220472440944882,0.7383177570093458,0.6752136752136753,"[[45 48]
 [28 79]]"
0.66,0.6690647482014388,0.808695652173913,0.7322834645669292,"[[39 46]
 [22 93]]"
0.6,0.5955882352941176,0.7641509433962265,0.6694214876033058,"[[39 55]
 [25 81]]"
0.675,0.6575342465753424,0.8648648648648649,0.7470817120622568,"[[39 50]
 [15 96]]"
0.615,0.6153846153846154,0.7476635514018691,0.6751054852320675,"[[43 50]
 [27 80]]"
0.665,0.6377952755905512,0.7941176470588235,0.7074235807860262,"[[52 46]
 [21 81]]"
0.69,0.6615384615384615,0.8269230769230769,0.7350427350427351,"[[52 44]
 [18 86]]"
0.7,0.7323943661971831,0.8253968253968254,0.7761194029850746,"[[ 36  38]
 [ 22 104]]"
0.685,0.656,0.803921568627451,0.7224669603524229,"[[55 43]
 [20 82]]"
0.71,0.6888888888888889,0.8532110091743119,0.7622950819672131,"[[49 42]
 [16 93]]"
0.73,0.7388059701492538,0.8389830508474576,0.7857142857142857,"[[47 35]
 [19 99]]"
0.7,0.6621621621621622,0.9074074074074074,0.765625,"[[42 50]
 [10 98]]"
0.7,0.6439393939393939,0.8673469387755102,0.7391304347826086,"[[55 47]
 [13 85]]"
0.67,0.6589147286821705,0.794392523364486,0.7203389830508474,"[[49 44]
 [22 85]]"
0.685,0.6834532374100719,0.8333333333333334,0.7509881422924901,"[[42 44]
 [19 95]]"
0.675,0.644927536231884,0.8476190476190476,0.7325102880658436,"[[46 49]
 [16 89]]"
0.68,0.6923076923076923,0.8319327731092437,0.7557251908396947,"[[37 44]
 [20 99]]"
0.68,0.6590909090909091,0.8207547169811321,0.7310924369747899,"[[49 45]
 [19 87]]"
0.65,0.625,0.8173076923076923,0.7083333333333334,"[[45 51]
 [19 85]]"
0.67,0.6338028169014085,0.8653846153846154,0.7317073170731707,"[[44 52]
 [14 90]]"
