accuracy,precision,recall,f1,confusion_matrix
0.49,0.5,0.4215686274509804,0.4574468085106383,"[[55 43]
 [59 43]]"
0.505,0.5257731958762887,0.49038461538461536,0.5074626865671642,"[[50 46]
 [53 51]]"
0.45,0.48148148148148145,0.3644859813084112,0.4148936170212766,"[[51 42]
 [68 39]]"
0.4,0.47191011235955055,0.3652173913043478,0.4117647058823529,"[[38 47]
 [73 42]]"
0.44,0.5288461538461539,0.4661016949152542,0.4954954954954955,"[[33 49]
 [63 55]]"
0.45,0.5,0.34545454545454546,0.40860215053763443,"[[52 38]
 [72 38]]"
0.485,0.5168539325842697,0.4339622641509434,0.4717948717948718,"[[51 43]
 [60 46]]"
0.535,0.5757575757575758,0.5277777777777778,0.5507246376811594,"[[50 42]
 [51 57]]"
0.525,0.5145631067961165,0.5408163265306123,0.527363184079602,"[[52 50]
 [45 53]]"
0.54,0.57,0.5377358490566038,0.5533980582524272,"[[51 43]
 [49 57]]"
0.57,0.5888888888888889,0.5196078431372549,0.5520833333333334,"[[61 37]
 [49 53]]"
0.49,0.45977011494252873,0.42105263157894735,0.43956043956043955,"[[58 47]
 [55 40]]"
0.525,0.5666666666666667,0.4766355140186916,0.5177664974619289,"[[54 39]
 [56 51]]"
0.54,0.5670103092783505,0.5238095238095238,0.5445544554455446,"[[53 42]
 [50 55]]"
0.515,0.5526315789473685,0.4,0.46408839779005523,"[[61 34]
 [63 42]]"
0.505,0.5154639175257731,0.49019607843137253,0.5025125628140703,"[[51 47]
 [52 50]]"
0.4,0.43157894736842106,0.38317757009345793,0.40594059405940597,"[[39 54]
 [66 41]]"
0.475,0.5473684210526316,0.45614035087719296,0.49760765550239233,"[[43 43]
 [62 52]]"
0.52,0.5806451612903226,0.4864864864864865,0.5294117647058824,"[[50 39]
 [57 54]]"
0.515,0.5652173913043478,0.47706422018348627,0.5174129353233831,"[[51 40]
 [57 52]]"
0.485,0.4943820224719101,0.43137254901960786,0.4607329842931937,"[[53 45]
 [58 44]]"
0.475,0.5205479452054794,0.35185185185185186,0.4198895027624309,"[[57 35]
 [70 38]]"
0.465,0.4666666666666667,0.4158415841584158,0.4397905759162304,"[[51 48]
 [59 42]]"
0.485,0.5376344086021505,0.45454545454545453,0.49261083743842365,"[[47 43]
 [60 50]]"
0.525,0.4888888888888889,0.4731182795698925,0.4808743169398907,"[[61 46]
 [49 44]]"
0.465,0.4888888888888889,0.41904761904761906,0.4512820512820513,"[[49 46]
 [61 44]]"
0.5,0.5728155339805825,0.5130434782608696,0.5412844036697247,"[[41 44]
 [56 59]]"
0.525,0.5569620253164557,0.4230769230769231,0.4808743169398907,"[[61 35]
 [60 44]]"
0.49,0.4943820224719101,0.43564356435643564,0.4631578947368421,"[[54 45]
 [57 44]]"
0.485,0.5,0.47572815533980584,0.48756218905472637,"[[48 49]
 [54 49]]"
0.49,0.61,0.49193548387096775,0.5446428571428571,"[[37 39]
 [63 61]]"
0.48,0.49504950495049505,0.4854368932038835,0.49019607843137253,"[[46 51]
 [53 50]]"
0.52,0.5728155339805825,0.5315315315315315,0.5514018691588785,"[[45 44]
 [52 59]]"
0.505,0.46875,0.4838709677419355,0.47619047619047616,"[[56 51]
 [48 45]]"
0.41,0.5,0.4406779661016949,0.46846846846846846,"[[30 52]
 [66 52]]"
0.55,0.5510204081632653,0.54,0.5454545454545454,"[[56 44]
 [46 54]]"
0.505,0.5432098765432098,0.41509433962264153,0.47058823529411764,"[[57 37]
 [62 44]]"
