accuracy,precision,recall,f1,confusion_matrix
0.485,0.574468085106383,0.46153846153846156,0.5118483412322274,"[[43 40]
 [63 54]]"
0.545,0.6161616161616161,0.5350877192982456,0.5727699530516432,"[[48 38]
 [53 61]]"
0.545,0.5955056179775281,0.49074074074074076,0.5380710659898477,"[[56 36]
 [55 53]]"
0.48,0.5416666666666666,0.4642857142857143,0.5,"[[44 44]
 [60 52]]"
0.52,0.49056603773584906,0.5531914893617021,0.52,"[[52 54]
 [42 52]]"
0.53,0.5425531914893617,0.5,0.5204081632653061,"[[55 43]
 [51 51]]"
0.49,0.49038461538461536,0.51,0.5,"[[47 53]
 [49 51]]"
0.605,0.6422018348623854,0.6363636363636364,0.639269406392694,"[[51 39]
 [40 70]]"
0.58,0.6,0.5769230769230769,0.5882352941176471,"[[56 40]
 [44 60]]"
0.53,0.5614035087719298,0.5925925925925926,0.5765765765765766,"[[42 50]
 [44 64]]"
0.545,0.504424778761062,0.6195652173913043,0.5560975609756098,"[[52 56]
 [35 57]]"
0.575,0.6090909090909091,0.6146788990825688,0.6118721461187214,"[[48 43]
 [42 67]]"
0.56,0.62,0.5535714285714286,0.5849056603773585,"[[50 38]
 [50 62]]"
0.54,0.5412844036697247,0.5841584158415841,0.5619047619047619,"[[49 50]
 [42 59]]"
0.565,0.5871559633027523,0.6037735849056604,0.5953488372093023,"[[49 45]
 [42 64]]"
0.58,0.5663716814159292,0.6464646464646465,0.6037735849056604,"[[52 49]
 [35 64]]"
0.51,0.6363636363636364,0.546875,0.5882352941176471,"[[32 40]
 [58 70]]"
0.55,0.5772357723577236,0.6513761467889908,0.6120689655172413,"[[39 52]
 [38 71]]"
0.61,0.6216216216216216,0.6571428571428571,0.6388888888888888,"[[53 42]
 [36 69]]"
0.63,0.6534653465346535,0.6285714285714286,0.6407766990291263,"[[60 35]
 [39 66]]"
0.59,0.6090909090909091,0.6320754716981132,0.6203703703703703,"[[51 43]
 [39 67]]"
0.595,0.6272727272727273,0.6330275229357798,0.6301369863013698,"[[50 41]
 [40 69]]"
0.64,0.6607142857142857,0.6851851851851852,0.6727272727272727,"[[54 38]
 [34 74]]"
0.545,0.5546218487394958,0.6346153846153846,0.5919282511210763,"[[43 53]
 [38 66]]"
0.59,0.6129032258064516,0.6909090909090909,0.6495726495726496,"[[42 48]
 [34 76]]"
0.62,0.6634615384615384,0.6272727272727273,0.6448598130841121,"[[55 35]
 [41 69]]"
0.655,0.6557377049180327,0.7476635514018691,0.6986899563318777,"[[51 42]
 [27 80]]"
0.6,0.6446280991735537,0.6782608695652174,0.6610169491525424,"[[42 43]
 [37 78]]"
0.6,0.6065573770491803,0.6981132075471698,0.6491228070175439,"[[46 48]
 [32 74]]"
0.55,0.5929203539823009,0.6036036036036037,0.5982142857142857,"[[43 46]
 [44 67]]"
0.665,0.65625,0.7850467289719626,0.7148936170212766,"[[49 44]
 [23 84]]"
0.635,0.6198347107438017,0.7352941176470589,0.672645739910314,"[[52 46]
 [27 75]]"
0.61,0.6031746031746031,0.7307692307692307,0.6608695652173913,"[[46 50]
 [28 76]]"
0.62,0.6953125,0.7063492063492064,0.7007874015748031,"[[35 39]
 [37 89]]"
0.585,0.5855855855855856,0.6372549019607843,0.6103286384976526,"[[52 46]
 [37 65]]"
0.6,0.6124031007751938,0.7247706422018348,0.6638655462184874,"[[41 50]
 [30 79]]"
0.625,0.6747967479674797,0.7033898305084746,0.6887966804979253,"[[42 40]
 [35 83]]"
0.68,0.6692307692307692,0.8055555555555556,0.7310924369747899,"[[49 43]
 [21 87]]"
0.58,0.5603448275862069,0.6632653061224489,0.6074766355140186,"[[51 51]
 [33 65]]"
0.61,0.6178861788617886,0.7102803738317757,0.6608695652173913,"[[46 47]
 [31 76]]"
0.62,0.6417910447761194,0.7543859649122807,0.6935483870967742,"[[38 48]
 [28 86]]"
0.62,0.6124031007751938,0.7523809523809524,0.6752136752136753,"[[45 50]
 [26 79]]"
0.68,0.697841726618705,0.8151260504201681,0.751937984496124,"[[39 42]
 [22 97]]"
0.685,0.672,0.7924528301886793,0.7272727272727273,"[[53 41]
 [22 84]]"
0.58,0.5793650793650794,0.7019230769230769,0.6347826086956522,"[[43 53]
 [31 73]]"
0.595,0.5877862595419847,0.7403846153846154,0.6553191489361702,"[[42 54]
 [27 77]]"
0.64,0.6618705035971223,0.7863247863247863,0.71875,"[[36 47]
 [25 92]]"
0.64,0.6290322580645161,0.75,0.6842105263157895,"[[50 46]
 [26 78]]"
0.655,0.6333333333333333,0.7524752475247525,0.6877828054298643,"[[55 44]
 [25 76]]"
0.685,0.6838235294117647,0.8230088495575221,0.7469879518072289,"[[44 43]
 [20 93]]"
0.615,0.6115107913669064,0.7870370370370371,0.6882591093117408,"[[38 54]
 [23 85]]"
0.64,0.6165413533834586,0.7961165048543689,0.6949152542372882,"[[46 51]
 [21 82]]"
0.605,0.5774647887323944,0.8118811881188119,0.6748971193415638,"[[39 60]
 [19 82]]"
0.575,0.5073529411764706,0.7931034482758621,0.6188340807174888,"[[46 67]
 [18 69]]"
0.61,0.582089552238806,0.78,0.6666666666666666,"[[44 56]
 [22 78]]"
0.605,0.562962962962963,0.7916666666666666,0.658008658008658,"[[45 59]
 [20 76]]"
0.64,0.64,0.8421052631578947,0.7272727272727273,"[[32 54]
 [18 96]]"
0.63,0.5942028985507246,0.82,0.6890756302521008,"[[44 56]
 [18 82]]"
0.58,0.5804195804195804,0.7757009345794392,0.664,"[[33 60]
 [24 83]]"
0.65,0.6137931034482759,0.8640776699029126,0.717741935483871,"[[41 56]
 [14 89]]"
0.635,0.6206896551724138,0.8333333333333334,0.7114624505928854,"[[37 55]
 [18 90]]"
0.645,0.6126760563380281,0.8446601941747572,0.710204081632653,"[[42 55]
 [16 87]]"
0.61,0.6126760563380281,0.7909090909090909,0.6904761904761905,"[[35 55]
 [23 87]]"
0.685,0.6666666666666666,0.822429906542056,0.7364016736401674,"[[49 44]
 [19 88]]"
0.62,0.6029411764705882,0.7884615384615384,0.6833333333333333,"[[42 54]
 [22 82]]"
0.615,0.6206896551724138,0.8035714285714286,0.7003891050583657,"[[33 55]
 [22 90]]"
0.63,0.6136363636363636,0.7788461538461539,0.6864406779661016,"[[45 51]
 [23 81]]"
0.69,0.6527777777777778,0.8867924528301887,0.752,"[[44 50]
 [12 94]]"
0.625,0.610062893081761,0.8818181818181818,0.7211895910780669,"[[28 62]
 [13 97]]"
0.645,0.5957446808510638,0.8571428571428571,0.702928870292887,"[[45 57]
 [14 84]]"
0.675,0.6363636363636364,0.875,0.7368421052631579,"[[44 52]
 [13 91]]"
0.665,0.6621621621621622,0.8521739130434782,0.7452471482889734,"[[35 50]
 [17 98]]"
0.62,0.5774647887323944,0.8367346938775511,0.6833333333333333,"[[42 60]
 [16 82]]"
0.635,0.6267605633802817,0.8165137614678899,0.7091633466135459,"[[38 53]
 [20 89]]"
0.66,0.6382978723404256,0.8411214953271028,0.7258064516129032,"[[42 51]
 [17 90]]"
0.68,0.656441717791411,0.9304347826086956,0.7697841726618705,"[[ 29  56]
 [  8 107]]"
0.67,0.6170212765957447,0.8787878787878788,0.725,"[[47 54]
 [12 87]]"
0.665,0.6577181208053692,0.8596491228070176,0.7452471482889734,"[[35 51]
 [16 98]]"
0.66,0.635036496350365,0.8285714285714286,0.71900826446281,"[[45 50]
 [18 87]]"
0.66,0.6293706293706294,0.8571428571428571,0.7258064516129032,"[[42 53]
 [15 90]]"
0.665,0.6174496644295302,0.9019607843137255,0.7330677290836654,"[[41 57]
 [10 92]]"
0.675,0.6573426573426573,0.8545454545454545,0.7430830039525692,"[[41 49]
 [16 94]]"
0.655,0.6014492753623188,0.8556701030927835,0.7063829787234043,"[[48 55]
 [14 83]]"
0.735,0.7391304347826086,0.8571428571428571,0.7937743190661478,"[[ 45  36]
 [ 17 102]]"
0.71,0.678082191780822,0.9,0.7734375,"[[43 47]
 [11 99]]"
0.665,0.664,0.7685185185185185,0.7124463519313304,"[[50 42]
 [25 83]]"
0.705,0.6896551724137931,0.8771929824561403,0.7722007722007722,"[[ 41  45]
 [ 14 100]]"
0.7,0.7014925373134329,0.8245614035087719,0.7580645161290323,"[[46 40]
 [20 94]]"
0.74,0.726027397260274,0.8983050847457628,0.803030303030303,"[[ 42  40]
 [ 12 106]]"
0.685,0.6187050359712231,0.8958333333333334,0.7319148936170212,"[[51 53]
 [10 86]]"
0.7,0.673469387755102,0.8918918918918919,0.7674418604651163,"[[41 48]
 [12 99]]"
0.705,0.6814814814814815,0.8518518518518519,0.757201646090535,"[[49 43]
 [16 92]]"
0.665,0.6170212765957447,0.87,0.7219917012448133,"[[46 54]
 [13 87]]"
0.71,0.6538461538461539,0.8673469387755102,0.7456140350877193,"[[57 45]
 [13 85]]"
0.7,0.6666666666666666,0.8679245283018868,0.7540983606557377,"[[48 46]
 [14 92]]"
0.68,0.6015037593984962,0.8791208791208791,0.7142857142857143,"[[56 53]
 [11 80]]"
0.71,0.706766917293233,0.831858407079646,0.7642276422764228,"[[48 39]
 [19 94]]"
0.71,0.6597222222222222,0.9134615384615384,0.7661290322580645,"[[47 49]
 [ 9 95]]"
0.715,0.7297297297297297,0.864,0.7912087912087912,"[[ 35  40]
 [ 17 108]]"
0.675,0.656934306569343,0.8333333333333334,0.7346938775510204,"[[45 47]
 [18 90]]"
0.72,0.6934306569343066,0.8715596330275229,0.7723577235772358,"[[49 42]
 [14 95]]"
0.72,0.6845637583892618,0.918918918918919,0.7846153846153846,"[[ 42  47]
 [  9 102]]"
0.725,0.6944444444444444,0.9009009009009009,0.7843137254901961,"[[ 45  44]
 [ 11 100]]"
0.68,0.6153846153846154,0.9072164948453608,0.7333333333333333,"[[48 55]
 [ 9 88]]"
0.705,0.6814814814814815,0.8518518518518519,0.757201646090535,"[[49 43]
 [16 92]]"
0.74,0.6950354609929078,0.9158878504672897,0.7903225806451613,"[[50 43]
 [ 9 98]]"
0.675,0.6618705035971223,0.8363636363636363,0.7389558232931727,"[[43 47]
 [18 92]]"
0.71,0.7291666666666666,0.8467741935483871,0.7835820895522388,"[[ 37  39]
 [ 19 105]]"
0.725,0.6934306569343066,0.8796296296296297,0.7755102040816326,"[[50 42]
 [13 95]]"
0.68,0.6549295774647887,0.8611111111111112,0.744,"[[43 49]
 [15 93]]"
0.69,0.664179104477612,0.839622641509434,0.7416666666666667,"[[49 45]
 [17 89]]"
0.75,0.7183098591549296,0.9107142857142857,0.8031496062992126,"[[ 48  40]
 [ 10 102]]"
0.74,0.7153284671532847,0.8828828828828829,0.7903225806451613,"[[50 39]
 [13 98]]"
0.675,0.6518987341772152,0.911504424778761,0.7601476014760148,"[[ 32  55]
 [ 10 103]]"
0.685,0.6330935251798561,0.88,0.7364016736401674,"[[49 51]
 [12 88]]"
0.74,0.6992481203007519,0.8857142857142857,0.7815126050420168,"[[55 40]
 [12 93]]"
0.715,0.6821192052980133,0.9196428571428571,0.7832699619771863,"[[ 40  48]
 [  9 103]]"
0.71,0.6692307692307692,0.8529411764705882,0.75,"[[55 43]
 [15 87]]"
0.72,0.6858974358974359,0.9385964912280702,0.7925925925925926,"[[ 37  49]
 [  7 107]]"
0.74,0.7152777777777778,0.9035087719298246,0.7984496124031008,"[[ 45  41]
 [ 11 103]]"
0.68,0.6307692307692307,0.8367346938775511,0.7192982456140351,"[[54 48]
 [16 82]]"
0.785,0.7518796992481203,0.9090909090909091,0.823045267489712,"[[ 57  33]
 [ 10 100]]"
0.715,0.6619718309859155,0.912621359223301,0.7673469387755102,"[[49 48]
 [ 9 94]]"
0.745,0.7357142857142858,0.8803418803418803,0.8015564202334631,"[[ 46  37]
 [ 14 103]]"
0.765,0.7304964539007093,0.9196428571428571,0.8142292490118577,"[[ 50  38]
 [  9 103]]"
0.735,0.7132352941176471,0.8738738738738738,0.7854251012145749,"[[50 39]
 [14 97]]"
0.685,0.6351351351351351,0.912621359223301,0.749003984063745,"[[43 54]
 [ 9 94]]"
0.755,0.6967213114754098,0.8762886597938144,0.776255707762557,"[[66 37]
 [12 85]]"
0.71,0.6590909090909091,0.87,0.75,"[[55 45]
 [13 87]]"
0.78,0.753731343283582,0.9017857142857143,0.8211382113821138,"[[ 55  33]
 [ 11 101]]"
0.715,0.6714285714285714,0.8952380952380953,0.7673469387755102,"[[49 46]
 [11 94]]"
0.74,0.7428571428571429,0.8666666666666667,0.8,"[[ 44  36]
 [ 16 104]]"
0.75,0.7165354330708661,0.8666666666666667,0.7844827586206896,"[[59 36]
 [14 91]]"
0.745,0.7021276595744681,0.9166666666666666,0.7951807228915663,"[[50 42]
 [ 9 99]]"
0.71,0.6857142857142857,0.8727272727272727,0.768,"[[46 44]
 [14 96]]"
0.78,0.7293233082706767,0.9238095238095239,0.8151260504201681,"[[59 36]
 [ 8 97]]"
0.75,0.6788321167883211,0.9393939393939394,0.788135593220339,"[[57 44]
 [ 6 93]]"
0.79,0.7832167832167832,0.9105691056910569,0.8421052631578947,"[[ 46  31]
 [ 11 112]]"
0.745,0.7089552238805971,0.8878504672897196,0.7883817427385892,"[[54 39]
 [12 95]]"
0.77,0.7279411764705882,0.9166666666666666,0.8114754098360656,"[[55 37]
 [ 9 99]]"
0.725,0.6721311475409836,0.845360824742268,0.7488584474885844,"[[63 40]
 [15 82]]"
0.79,0.7441860465116279,0.9142857142857143,0.8205128205128205,"[[62 33]
 [ 9 96]]"
0.735,0.7089552238805971,0.8715596330275229,0.7818930041152263,"[[52 39]
 [14 95]]"
0.825,0.8151260504201681,0.8818181818181818,0.8471615720524017,"[[68 22]
 [13 97]]"
0.74,0.7364341085271318,0.8407079646017699,0.7851239669421488,"[[53 34]
 [18 95]]"
0.755,0.7154471544715447,0.8627450980392157,0.7822222222222223,"[[63 35]
 [14 88]]"
0.79,0.7286821705426356,0.9306930693069307,0.8173913043478261,"[[64 35]
 [ 7 94]]"
0.75,0.708029197080292,0.9065420560747663,0.7950819672131147,"[[53 40]
 [10 97]]"
0.75,0.7086614173228346,0.8737864077669902,0.782608695652174,"[[60 37]
 [13 90]]"
0.74,0.7214285714285714,0.8859649122807017,0.7952755905511811,"[[ 47  39]
 [ 13 101]]"
0.82,0.7983870967741935,0.9,0.8461538461538461,"[[65 25]
 [11 99]]"
0.78,0.7819548872180451,0.8739495798319328,0.8253968253968254,"[[ 52  29]
 [ 15 104]]"
0.705,0.6528925619834711,0.8229166666666666,0.728110599078341,"[[62 42]
 [17 79]]"
0.76,0.7279411764705882,0.9,0.8048780487804879,"[[53 37]
 [11 99]]"
0.76,0.7089552238805971,0.9134615384615384,0.7983193277310925,"[[57 39]
 [ 9 95]]"
0.715,0.671875,0.8514851485148515,0.7510917030567685,"[[57 42]
 [15 86]]"
0.78,0.7580645161290323,0.8703703703703703,0.8103448275862069,"[[62 30]
 [14 94]]"
0.765,0.725925925925926,0.9074074074074074,0.8065843621399177,"[[55 37]
 [10 98]]"
0.765,0.7024793388429752,0.8854166666666666,0.783410138248848,"[[68 36]
 [11 85]]"
0.78,0.725,0.8877551020408163,0.7981651376146789,"[[69 33]
 [11 87]]"
0.81,0.7923076923076923,0.9035087719298246,0.8442622950819673,"[[ 59  27]
 [ 11 103]]"
0.785,0.7129629629629629,0.8651685393258427,0.7817258883248731,"[[80 31]
 [12 77]]"
0.78,0.7338129496402878,0.9357798165137615,0.8225806451612904,"[[ 54  37]
 [  7 102]]"
0.78,0.7235772357723578,0.898989898989899,0.8018018018018018,"[[67 34]
 [10 89]]"
0.795,0.7611940298507462,0.918918918918919,0.8326530612244898,"[[ 57  32]
 [  9 102]]"
0.845,0.8360655737704918,0.9026548672566371,0.8680851063829788,"[[ 67  20]
 [ 11 102]]"
0.825,0.773109243697479,0.92,0.8401826484018264,"[[73 27]
 [ 8 92]]"
0.82,0.8248175182481752,0.904,0.8625954198473282,"[[ 51  24]
 [ 12 113]]"
0.83,0.8175182481751825,0.9256198347107438,0.8682170542635659,"[[ 54  25]
 [  9 112]]"
0.785,0.7727272727272727,0.8869565217391304,0.8259109311740891,"[[ 55  30]
 [ 13 102]]"
0.87,0.8320610687022901,0.9646017699115044,0.8934426229508197,"[[ 65  22]
 [  4 109]]"
0.8,0.7391304347826086,0.8947368421052632,0.8095238095238095,"[[75 30]
 [10 85]]"
0.825,0.7753623188405797,0.963963963963964,0.8594377510040161,"[[ 58  31]
 [  4 107]]"
0.8,0.768595041322314,0.8857142857142857,0.8230088495575221,"[[67 28]
 [12 93]]"
0.835,0.8205128205128205,0.8888888888888888,0.8533333333333334,"[[71 21]
 [12 96]]"
0.8,0.751937984496124,0.9238095238095239,0.8290598290598291,"[[63 32]
 [ 8 97]]"
0.795,0.71875,0.9484536082474226,0.8177777777777778,"[[67 36]
 [ 5 92]]"
0.81,0.7716535433070866,0.9158878504672897,0.8376068376068376,"[[64 29]
 [ 9 98]]"
0.82,0.775,0.9117647058823529,0.8378378378378378,"[[71 27]
 [ 9 93]]"
0.775,0.7338129496402878,0.9272727272727272,0.8192771084337349,"[[ 53  37]
 [  8 102]]"
0.81,0.7479674796747967,0.9292929292929293,0.8288288288288288,"[[70 31]
 [ 7 92]]"
0.815,0.782258064516129,0.9065420560747663,0.8398268398268398,"[[66 27]
 [10 97]]"
0.82,0.8129496402877698,0.9186991869918699,0.8625954198473282,"[[ 51  26]
 [ 10 113]]"
0.79,0.7536231884057971,0.9285714285714286,0.832,"[[ 54  34]
 [  8 104]]"
0.835,0.8251748251748252,0.9365079365079365,0.8773234200743495,"[[ 49  25]
 [  8 118]]"
0.83,0.7841726618705036,0.9646017699115044,0.8650793650793651,"[[ 57  30]
 [  4 109]]"
0.82,0.7902097902097902,0.9495798319327731,0.8625954198473282,"[[ 51  30]
 [  6 113]]"
0.805,0.7890625,0.8938053097345132,0.8381742738589212,"[[ 60  27]
 [ 12 101]]"
0.81,0.7518248175182481,0.9626168224299065,0.8442622950819673,"[[ 59  34]
 [  4 103]]"
0.845,0.7954545454545454,0.963302752293578,0.8713692946058091,"[[ 64  27]
 [  4 105]]"
0.785,0.717741935483871,0.9175257731958762,0.8054298642533937,"[[68 35]
 [ 8 89]]"
0.78,0.717391304347826,0.9519230769230769,0.8181818181818182,"[[57 39]
 [ 5 99]]"
0.82,0.7741935483870968,0.9230769230769231,0.8421052631578947,"[[68 28]
 [ 8 96]]"
0.81,0.7313432835820896,0.98,0.8376068376068376,"[[64 36]
 [ 2 98]]"
0.845,0.8114754098360656,0.9252336448598131,0.8646288209606987,"[[70 23]
 [ 8 99]]"
0.825,0.796875,0.918918918918919,0.8535564853556485,"[[ 63  26]
 [  9 102]]"
0.855,0.8114754098360656,0.9428571428571428,0.8722466960352423,"[[72 23]
 [ 6 99]]"
0.825,0.7883211678832117,0.9473684210526315,0.8605577689243028,"[[ 57  29]
 [  6 108]]"
0.775,0.7419354838709677,0.8761904761904762,0.8034934497816594,"[[63 32]
 [13 92]]"
0.775,0.7317073170731707,0.8823529411764706,0.8,"[[65 33]
 [12 90]]"
0.845,0.7952755905511811,0.9528301886792453,0.8669527896995708,"[[ 68  26]
 [  5 101]]"
0.84,0.8181818181818182,0.908256880733945,0.8608695652173913,"[[69 22]
 [10 99]]"
0.82,0.7716535433070866,0.9333333333333333,0.8448275862068966,"[[66 29]
 [ 7 98]]"
0.82,0.8016528925619835,0.8899082568807339,0.8434782608695652,"[[67 24]
 [12 97]]"
0.795,0.7421875,0.9223300970873787,0.8225108225108225,"[[64 33]
 [ 8 95]]"
0.86,0.8515625,0.923728813559322,0.8861788617886179,"[[ 63  19]
 [  9 109]]"
0.86,0.8305084745762712,0.9245283018867925,0.875,"[[74 20]
 [ 8 98]]"
0.835,0.8130841121495327,0.87,0.8405797101449275,"[[80 20]
 [13 87]]"
0.845,0.8278688524590164,0.9099099099099099,0.8669527896995708,"[[ 68  21]
 [ 10 101]]"
0.805,0.7923076923076923,0.8956521739130435,0.8408163265306122,"[[ 58  27]
 [ 12 103]]"
0.805,0.75,0.9207920792079208,0.8266666666666667,"[[68 31]
 [ 8 93]]"
0.82,0.8099173553719008,0.8828828828828829,0.8448275862068966,"[[66 23]
 [13 98]]"
0.85,0.8181818181818182,0.9252336448598131,0.868421052631579,"[[71 22]
 [ 8 99]]"
0.865,0.8449612403100775,0.9396551724137931,0.889795918367347,"[[ 64  20]
 [  7 109]]"
0.845,0.825,0.908256880733945,0.8646288209606987,"[[70 21]
 [10 99]]"
0.85,0.8442622950819673,0.9035087719298246,0.8728813559322034,"[[ 67  19]
 [ 11 103]]"
0.8,0.8,0.8695652173913043,0.8333333333333334,"[[ 60  25]
 [ 15 100]]"
0.785,0.734375,0.912621359223301,0.8138528138528138,"[[63 34]
 [ 9 94]]"
0.855,0.8015873015873016,0.9619047619047619,0.8744588744588745,"[[ 70  25]
 [  4 101]]"
0.795,0.7557251908396947,0.9166666666666666,0.8284518828451883,"[[60 32]
 [ 9 99]]"
0.875,0.8372093023255814,0.9642857142857143,0.8962655601659751,"[[ 67  21]
 [  4 108]]"
0.78,0.753968253968254,0.8796296296296297,0.811965811965812,"[[61 31]
 [13 95]]"
0.805,0.7372881355932204,0.9157894736842105,0.8169014084507042,"[[74 31]
 [ 8 87]]"
0.825,0.7938931297709924,0.9285714285714286,0.8559670781893004,"[[ 61  27]
 [  8 104]]"
0.835,0.8048780487804879,0.9166666666666666,0.8571428571428571,"[[68 24]
 [ 9 99]]"
0.855,0.8203125,0.9459459459459459,0.8786610878661087,"[[ 66  23]
 [  6 105]]"
0.855,0.8181818181818182,0.9339622641509434,0.8722466960352423,"[[72 22]
 [ 7 99]]"
0.83,0.784,0.9333333333333333,0.8521739130434782,"[[68 27]
 [ 7 98]]"
0.8,0.76,0.9047619047619048,0.8260869565217391,"[[65 30]
 [10 95]]"
0.86,0.8070175438596491,0.9387755102040817,0.8679245283018868,"[[80 22]
 [ 6 92]]"
0.84,0.816,0.918918918918919,0.864406779661017,"[[ 66  23]
 [  9 102]]"
0.875,0.8396946564885496,0.9649122807017544,0.8979591836734694,"[[ 65  21]
 [  4 110]]"
0.845,0.8188405797101449,0.9495798319327731,0.8793774319066148,"[[ 56  25]
 [  6 113]]"
0.83,0.7709923664122137,0.9619047619047619,0.8559322033898306,"[[ 65  30]
 [  4 101]]"
0.88,0.8244274809160306,0.9908256880733946,0.9,"[[ 68  23]
 [  1 108]]"
0.795,0.7304964539007093,0.9716981132075472,0.8340080971659919,"[[ 56  38]
 [  3 103]]"
0.825,0.7769230769230769,0.9439252336448598,0.8523206751054853,"[[ 64  29]
 [  6 101]]"
0.795,0.6942148760330579,0.9545454545454546,0.8038277511961722,"[[75 37]
 [ 4 84]]"
0.87,0.8394160583941606,0.9663865546218487,0.8984375,"[[ 59  22]
 [  4 115]]"
0.825,0.7538461538461538,0.9702970297029703,0.8484848484848485,"[[67 32]
 [ 3 98]]"
0.815,0.7698412698412699,0.9238095238095239,0.8398268398268398,"[[66 29]
 [ 8 97]]"
0.84,0.7777777777777778,0.9607843137254902,0.8596491228070176,"[[70 28]
 [ 4 98]]"
0.82,0.7910447761194029,0.9298245614035088,0.8548387096774194,"[[ 58  28]
 [  8 106]]"
0.855,0.8125,0.9541284403669725,0.8776371308016878,"[[ 67  24]
 [  5 104]]"
0.79,0.7375886524822695,0.9541284403669725,0.832,"[[ 54  37]
 [  5 104]]"
0.88,0.8307692307692308,0.9818181818181818,0.9,"[[ 68  22]
 [  2 108]]"
0.87,0.8405797101449275,0.9666666666666667,0.8992248062015504,"[[ 58  22]
 [  4 116]]"
0.87,0.8253968253968254,0.9629629629629629,0.8888888888888888,"[[ 70  22]
 [  4 104]]"
0.825,0.7619047619047619,0.9504950495049505,0.8458149779735683,"[[69 30]
 [ 5 96]]"
0.825,0.7835820895522388,0.9459459459459459,0.8571428571428571,"[[ 60  29]
 [  6 105]]"
0.82,0.7538461538461538,0.9607843137254902,0.8448275862068966,"[[66 32]
 [ 4 98]]"
0.905,0.9083969465648855,0.9444444444444444,0.9260700389105059,"[[ 62  12]
 [  7 119]]"
0.855,0.8034188034188035,0.94,0.8663594470046083,"[[77 23]
 [ 6 94]]"
0.855,0.8114754098360656,0.9428571428571428,0.8722466960352423,"[[72 23]
 [ 6 99]]"
0.84,0.776,0.9603960396039604,0.8584070796460177,"[[71 28]
 [ 4 97]]"
0.87,0.8108108108108109,0.9473684210526315,0.8737864077669902,"[[84 21]
 [ 5 90]]"
0.91,0.8771929824561403,0.9615384615384616,0.9174311926605505,"[[ 82  14]
 [  4 100]]"
0.85,0.8151260504201681,0.9238095238095239,0.8660714285714286,"[[73 22]
 [ 8 97]]"
0.83,0.803030303030303,0.9298245614035088,0.8617886178861789,"[[ 60  26]
 [  8 106]]"
0.87,0.8145161290322581,0.9711538461538461,0.8859649122807017,"[[ 73  23]
 [  3 101]]"
0.875,0.8384615384615385,0.9646017699115044,0.897119341563786,"[[ 66  21]
 [  4 109]]"
0.87,0.85,0.9272727272727272,0.8869565217391304,"[[ 72  18]
 [  8 102]]"
0.84,0.7631578947368421,0.9456521739130435,0.8446601941747572,"[[81 27]
 [ 5 87]]"
0.875,0.824,0.9716981132075472,0.8917748917748918,"[[ 72  22]
 [  3 103]]"
0.855,0.8253968253968254,0.9369369369369369,0.8776371308016878,"[[ 67  22]
 [  7 104]]"
0.845,0.7950819672131147,0.941747572815534,0.8622222222222222,"[[72 25]
 [ 6 97]]"
0.84,0.7833333333333333,0.94,0.8545454545454545,"[[74 26]
 [ 6 94]]"
