accuracy,precision,recall,f1,confusion_matrix
0.5,0.5084745762711864,0.5882352941176471,0.5454545454545454,"[[40 58]
 [42 60]]"
0.545,0.5474452554744526,0.7211538461538461,0.6224066390041494,"[[34 62]
 [29 75]]"
0.555,0.5725806451612904,0.6635514018691588,0.6147186147186147,"[[40 53]
 [36 71]]"
0.53,0.574468085106383,0.7043478260869566,0.6328125,"[[25 60]
 [34 81]]"
0.51,0.5735294117647058,0.6610169491525424,0.6141732283464567,"[[24 58]
 [40 78]]"
0.49,0.532258064516129,0.6,0.5641025641025641,"[[32 58]
 [44 66]]"
0.54,0.5522388059701493,0.6981132075471698,0.6166666666666667,"[[34 60]
 [32 74]]"
0.52,0.546875,0.6481481481481481,0.5932203389830508,"[[34 58]
 [38 70]]"
0.515,0.5038759689922481,0.6632653061224489,0.5726872246696035,"[[38 64]
 [33 65]]"
0.495,0.5190839694656488,0.6415094339622641,0.5738396624472574,"[[31 63]
 [38 68]]"
0.5,0.5078125,0.6372549019607843,0.5652173913043478,"[[35 63]
 [37 65]]"
0.53,0.5037593984962406,0.7052631578947368,0.5877192982456141,"[[39 66]
 [28 67]]"
0.5,0.5259259259259259,0.6635514018691588,0.5867768595041323,"[[29 64]
 [36 71]]"
0.425,0.4632352941176471,0.6,0.5228215767634855,"[[22 73]
 [42 63]]"
0.56,0.5602836879432624,0.7523809523809524,0.6422764227642277,"[[33 62]
 [26 79]]"
0.54,0.5324675324675324,0.803921568627451,0.640625,"[[26 72]
 [20 82]]"
0.54,0.5581395348837209,0.6728971962616822,0.6101694915254238,"[[36 57]
 [35 72]]"
0.49,0.5483870967741935,0.5964912280701754,0.5714285714285714,"[[30 56]
 [46 68]]"
0.465,0.5147058823529411,0.6306306306306306,0.5668016194331984,"[[23 66]
 [41 70]]"
0.55,0.5736434108527132,0.6788990825688074,0.6218487394957983,"[[36 55]
 [35 74]]"
0.555,0.5467625899280576,0.7450980392156863,0.6307053941908713,"[[35 63]
 [26 76]]"
0.56,0.5704225352112676,0.75,0.648,"[[31 61]
 [27 81]]"
0.49,0.4965034965034965,0.7029702970297029,0.5819672131147541,"[[27 72]
 [30 71]]"
0.555,0.5755395683453237,0.7272727272727273,0.642570281124498,"[[31 59]
 [30 80]]"
0.47,0.45255474452554745,0.6666666666666666,0.5391304347826087,"[[32 75]
 [31 62]]"
0.51,0.5267175572519084,0.6571428571428571,0.5847457627118644,"[[33 62]
 [36 69]]"
0.575,0.6013513513513513,0.7739130434782608,0.6768060836501901,"[[26 59]
 [26 89]]"
0.525,0.5323741007194245,0.7115384615384616,0.6090534979423868,"[[31 65]
 [30 74]]"
0.5,0.5032258064516129,0.7722772277227723,0.609375,"[[22 77]
 [23 78]]"
0.505,0.5136986301369864,0.7281553398058253,0.6024096385542169,"[[26 71]
 [28 75]]"
0.575,0.6344827586206897,0.7419354838709677,0.6840148698884758,"[[23 53]
 [32 92]]"
0.53,0.5323741007194245,0.7184466019417476,0.6115702479338843,"[[32 65]
 [29 74]]"
0.535,0.5642857142857143,0.7117117117117117,0.6294820717131474,"[[28 61]
 [32 79]]"
0.49,0.4676258992805755,0.6989247311827957,0.5603448275862069,"[[33 74]
 [28 65]]"
0.59,0.625,0.7627118644067796,0.6870229007633588,"[[28 54]
 [28 90]]"
0.51,0.5073529411764706,0.69,0.5847457627118644,"[[33 67]
 [31 69]]"
0.505,0.5238095238095238,0.7264150943396226,0.6086956521739131,"[[24 70]
 [29 77]]"
0.56,0.5652173913043478,0.8348623853211009,0.674074074074074,"[[21 70]
 [18 91]]"
0.58,0.5985915492957746,0.7589285714285714,0.6692913385826772,"[[31 57]
 [27 85]]"
0.555,0.5962732919254659,0.8,0.6832740213523132,"[[15 65]
 [24 96]]"
0.515,0.5131578947368421,0.7722772277227723,0.616600790513834,"[[25 74]
 [23 78]]"
0.49,0.5068493150684932,0.7115384615384616,0.592,"[[24 72]
 [30 74]]"
0.55,0.5390070921985816,0.7524752475247525,0.628099173553719,"[[34 65]
 [25 76]]"
0.51,0.5290322580645161,0.7663551401869159,0.6259541984732825,"[[20 73]
 [25 82]]"
0.56,0.5753424657534246,0.7636363636363637,0.65625,"[[28 62]
 [26 84]]"
0.54,0.5379310344827586,0.7572815533980582,0.6290322580645161,"[[30 67]
 [25 78]]"
0.58,0.5666666666666667,0.8173076923076923,0.6692913385826772,"[[31 65]
 [19 85]]"
0.47,0.4563758389261745,0.7311827956989247,0.5619834710743802,"[[26 81]
 [25 68]]"
0.565,0.5695364238410596,0.7962962962962963,0.6640926640926641,"[[27 65]
 [22 86]]"
0.51,0.52,0.75,0.6141732283464567,"[[24 72]
 [26 78]]"
0.57,0.5424836601307189,0.8383838383838383,0.6587301587301587,"[[31 70]
 [16 83]]"
0.61,0.6148648648648649,0.8125,0.7,"[[31 57]
 [21 91]]"
0.53,0.5290322580645161,0.7961165048543689,0.6356589147286822,"[[24 73]
 [21 82]]"
0.615,0.6153846153846154,0.8495575221238938,0.7137546468401487,"[[27 60]
 [17 96]]"
0.47,0.5032679738562091,0.719626168224299,0.5923076923076923,"[[17 76]
 [30 77]]"
0.53,0.5165562913907285,0.7878787878787878,0.624,"[[28 73]
 [21 78]]"
0.51,0.564625850340136,0.7094017094017094,0.6287878787878788,"[[19 64]
 [34 83]]"
0.595,0.5849056603773585,0.8611111111111112,0.6966292134831461,"[[26 66]
 [15 93]]"
0.58,0.567741935483871,0.8380952380952381,0.676923076923077,"[[28 67]
 [17 88]]"
0.54,0.5547945205479452,0.75,0.6377952755905512,"[[27 65]
 [27 81]]"
0.545,0.5448275862068965,0.7596153846153846,0.6345381526104418,"[[30 66]
 [25 79]]"
0.55,0.5443037974683544,0.8269230769230769,0.6564885496183206,"[[24 72]
 [18 86]]"
0.575,0.5827814569536424,0.8,0.6743295019157088,"[[27 63]
 [22 88]]"
0.5,0.5033557046979866,0.7425742574257426,0.6,"[[25 74]
 [26 75]]"
0.525,0.5408805031446541,0.7962962962962963,0.6441947565543071,"[[19 73]
 [22 86]]"
0.6,0.6216216216216216,0.7931034482758621,0.696969696969697,"[[28 56]
 [24 92]]"
0.585,0.6,0.8157894736842105,0.6914498141263941,"[[24 62]
 [21 93]]"
0.555,0.5732484076433121,0.8035714285714286,0.6691449814126395,"[[21 67]
 [22 90]]"
0.565,0.5342465753424658,0.8041237113402062,0.6419753086419753,"[[35 68]
 [19 78]]"
0.57,0.5759493670886076,0.8272727272727273,0.6791044776119403,"[[23 67]
 [19 91]]"
0.55,0.5612903225806452,0.7981651376146789,0.6590909090909091,"[[23 68]
 [22 87]]"
0.46,0.4503311258278146,0.7311827956989247,0.5573770491803278,"[[24 83]
 [25 68]]"
0.56,0.5704225352112676,0.75,0.648,"[[31 61]
 [27 81]]"
0.45,0.4506172839506173,0.776595744680851,0.5703125,"[[17 89]
 [21 73]]"
0.53,0.5302013422818792,0.7669902912621359,0.626984126984127,"[[27 70]
 [24 79]]"
0.49,0.5064935064935064,0.75,0.6046511627906976,"[[20 76]
 [26 78]]"
0.555,0.527027027027027,0.8041237113402062,0.636734693877551,"[[33 70]
 [19 78]]"
0.51,0.5369127516778524,0.7339449541284404,0.6201550387596899,"[[22 69]
 [29 80]]"
0.545,0.5384615384615384,0.8155339805825242,0.6486486486486487,"[[25 72]
 [19 84]]"
0.49,0.48026315789473684,0.7604166666666666,0.5887096774193549,"[[25 79]
 [23 73]]"
0.55,0.5578231292517006,0.7663551401869159,0.6456692913385826,"[[28 65]
 [25 82]]"
0.485,0.4873417721518987,0.7777777777777778,0.5992217898832685,"[[20 81]
 [22 77]]"
0.54,0.5816993464052288,0.7606837606837606,0.6592592592592592,"[[19 64]
 [28 89]]"
0.55,0.5379746835443038,0.8333333333333334,0.6538461538461539,"[[25 73]
 [17 85]]"
0.57,0.6012658227848101,0.8050847457627118,0.6884057971014492,"[[19 63]
 [23 95]]"
0.565,0.5512820512820513,0.8349514563106796,0.6640926640926641,"[[27 70]
 [17 86]]"
0.535,0.5131578947368421,0.8041237113402062,0.6265060240963856,"[[29 74]
 [19 78]]"
0.605,0.5838926174496645,0.8365384615384616,0.6877470355731226,"[[34 62]
 [17 87]]"
