accuracy,precision,recall,f1,false_negative_rate,false_positive_rate,Embedding Type,PCA Component,Model Type
0.7466,0.8254891591750396,0.6248999199359487,0.7113237639553429,0.3751000800640512,0.13189448441247,AngleEmbedding,2,Classical
0.5008,0.500200240288346,1.0,0.6668446342765617,0.0,0.9976019184652278,AngleEmbedding,2,Hybrid
0.6786,0.6877924287537218,0.6493975903614457,0.6680437926048337,0.3506024096385542,0.2924302788844621,IQPEmbedding,2,Classical
0.6576,0.6567284448025785,0.6546184738955824,0.6556717618664522,0.3453815261044177,0.3394422310756972,IQPEmbedding,2,Hybrid
0.876,0.8365005378271781,0.934321185422507,0.8827090427544457,0.0656788145774929,0.1821813823411905,IQPEmbedding,4,Classical
0.874,0.8008378988076056,0.9951942330796956,0.8875,0.0048057669203043,0.2469037155413503,IQPEmbedding,4,Hybrid
0.8788,0.902068383284086,0.8510553564317005,0.8758196721311475,0.1489446435682994,0.0932101245480112,AngleEmbedding,4,Classical
0.8756,0.8014682413022662,1.0,0.8897944720056697,0.0,0.2498995580554439,AngleEmbedding,4,Hybrid
0.9866,0.976470588235294,0.9971966359631558,0.9867247870021796,0.0028033640368442,0.0239712345185777,IQPEmbedding,6,Classical
0.9054,0.8421230561189993,0.9975971165398478,0.9132905591200732,0.0024028834601521,0.1865761086695964,IQPEmbedding,6,Hybrid
0.8454,0.7647775746496039,0.9996017522899244,0.8665630933885724,0.0003982477100756,0.3101647247890719,AngleEmbedding,6,Hybrid
0.9602,0.9927536231884058,0.9275189167662286,0.959028206711962,0.0724810832337714,0.0068300522298111,AngleEmbedding,6,Classical
0.8702,0.8414588760699665,0.9102254428341384,0.8744923612454071,0.0897745571658615,0.1693163751987281,AngleEmbedding,8,Hybrid
0.9164,0.8564527260179434,0.999194847020934,0.9223337049424006,0.000805152979066,0.1653418124006359,AngleEmbedding,8,Classical
0.9582,0.9227596550431196,0.9987824675324676,0.95926719937634,0.0012175324675324,0.0812302839116719,IQPEmbedding,8,Hybrid
0.9878,0.976218787158145,0.999594155844156,0.9877681973130138,0.0004058441558441,0.0236593059936908,IQPEmbedding,8,Classical
0.8808,0.8092634287552267,0.998809051210798,0.8941009239516702,0.001190948789202,0.2390165255945183,AngleEmbedding,10,Hybrid
0.9668,0.939156401642404,0.998809051210798,0.9680646402462486,0.001190948789202,0.0656993147924224,AngleEmbedding,10,Classical
0.9216,0.8649584487534626,0.9992,0.92724573125464,0.0008,0.156,IQPEmbedding,10,Classical
0.798,0.7122507122507122,1.0,0.831946755407654,0.0,0.404,IQPEmbedding,10,Hybrid
